Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cuba,93.4576797485352,93.7051239013672,93.9526672363281,94.200813293457,94.4501495361328,94.701286315918,94.9548187255859,95.2113418579102,95.4706192016602,95.7290115356445,97.0,96.2253036499023,95.5,96.6644439697266,96.8514175415039,97.0133743286133,97.1592178344727,97.300537109375,97.4489135742188,97.6159439086914,97.8131942749023,98.0522537231445,98.3413009643555,98.6748504638672,99.0439910888672,99.439826965332,99.8534622192383,99.928352355957,100.0
Curacao,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Îles Caïmans,99.9155502319336,99.9308471679688,99.9463958740234,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Chypre,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
République tchèque,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Allemagne,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Djibouti,,,,,,,62.0,56.3123588562012,56.34375,56.3742637634277,56.3994293212891,56.4147834777832,49.7,56.3981628417969,56.357250213623,56.2913208007813,55.5,56.1227226257324,56.0432205200195,55.9823608398438,55.9517288208008,55.9629096984863,54.6,56.1297340393066,56.4197654724121,57.531120300293,58.6942405700684,60.2,60.3954467773438
Dominique,,,,,,,,,75.0,79.6214141845703,80.992317199707,82.3534088134766,87.7,85.0282669067383,86.3330917358398,87.6128997802734,88.8766021728516,90.1357803344727,90.9,92.686897277832,94.0019989013672,95.3589248657227,96.7658233642578,98.2172241210938,99.704216003418,99.8146362304688,99.9815139770508,100.0,100.0
Danemark,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
République dominicaine,,78.2,82.0788650512695,82.8731307983398,83.6685943603516,84.4658584594727,85.265510559082,86.0681610107422,86.8735580444336,91.0,88.764932,89.791362,89.749814,89.173808,90.316567,90.141224,90.118148,96.876342,97.576197,97.85776,98.145414,97.898872,97.86705,98.385853,98.470979,98.560364,98.9,100.0,100.0
